Name	Glottocode	Glottolog_Name	ISO-639-3	Macroarea	Primary_Location	Latitude	Longitude	Family
Maipure	maip1246	Maipure		South America	Venezuela	4.8	-67.7	Arawakan
Manao	mana1299	Manao		South America	Brazil	-1	-63	Arawakan
Mandawaka (Mandahuaca)	mand1448	Mandahuaca	mht	South America	Venezuela	1.75	-66.83	Arawakan
Marawa (Maragua)	mara1409	Maragua		South America	Brazil	-3	-66	Arawakan
Marawan	mara1408	Marawan		South America	Brazil	3.9	-51.8	Arawakan
Mariate	uain1239	Uainuma-Mariate		South America	Brazil	-3	-68	Arawakan
Mawayana (Mapidian)	mapi1252	Mapidian-Mawayana	mpw	South America	Guyana	4.5	-58.3	Arawakan
Mehinaku	mehi1240	Mehináku	mmh	South America	Brazil	-12.5	-53.42	Arawakan
Nomatsiguenga	noma1263	Nomatsiguenga	not	South America	Peru	-11.67	-74.5	Arawakan
Palikur	pali1279	Palikúr	plu	South America	Brazil	3	-51	Arawakan
Paresi (Parecís)	pare1272	Parecís	pab	South America	Brazil	-14	-57	Arawakan
Pase (Pasé)	pass1250	Passe		South America	Brazil	-3	-68	Arawakan
Piapoco (Dzaze)	piap1246	Piapoco	pio	South America	Colombia	4	-69.5	Arawakan
Piro (Yine)	yine1238	Yine	pib	South America	Peru	-11	-73	Arawakan
Resigaro (Resígaro)	resi1247	Resígaro	rgr	South America	Peru	-2.42	-71.5	Arawakan
Saraveka	sara1331	Saraveca	sar	South America	Bolivia	-15	-60	Arawakan
Taino (Taíno)	tain1254	Taino	tnq	South America	Caribbean	24.3	-76	Arawakan
Tariana	tari1256	Tariana	tae	South America	Brazil	1	-69.17	Arawakan
Terena (Terêna)	tere1281	Terena	ter	South America	Brazil	-20	-56	Arawakan
Trinitario (Moxos)	trin1274	Trinitario	trn	South America	Bolivia	-15.33	-65.42	Arawakan
Wainuma	uain1239	Uainuma-Mariate		South America	Colombia	-1.52	-71.4	Arawakan
Wapixana (Wapishana)	wapi1253	Wapishana	wap	South America	Guyana	2.67	-60	Arawakan
Waraicu	arai1239	Araicu		South America	Brazil	-3.1	-67.9	Arawakan
Warekena	ware1255	Warekena Velha		South America	Brazil	1.5	-67.5	Arawakan
Waura (Waurá)	waur1244	Waurá	wau	South America	Brazil	-12.4	-53.6	Arawakan
Guajiro (Wayuu)	wayu1243	Wayuu	guc	South America	Colombia	12	-72	Arawakan
Yavitero (Paraene)	yavi1244	Yavitero	yvt	South America	Venezuela	2.4	-67.5	Arawakan
Yawalapiti (Yawalapití)	yawa1261	Yawalapití	yaw	South America	Brazil	-12.2	-53.3	Arawakan
Yukuna (Matapi)	yucu1253	Yucuna	ycn	South America	Colombia	-0.75	-71	Arawakan
Yumana	juma1250	Jumana		South America	Brazil	-2	-68	Arawakan
