id	16	c	n	4	y
samd	0	0	0	0	0
earth	?	?	0	0	?
earth	?	?	0	0	?
earth	?	?	1	0	?
earth	?	?	0	0	?
earth	?	?	0	0	?
earth	?	?	0	0	?
earth	?	?	0	0	?
earth	?	?	0	0	?
earth	?	?	0	0	?
earth	?	?	0	1	?
earth	?	?	0	0	?
earth	?	?	0	0	?
earth	?	?	0	0	?
earth	?	?	0	0	?
cloud	?	?	0	0	?
cloud	?	?	1	0	?
cloud	?	?	0	1	?
cloud	?	?	0	0	?
cloud	?	?	0	0	?
cloud	?	?	0	0	?
cloud	?	?	0	0	?
cloud	?	?	0	0	?
cloud	?	?	0	0	?
cloud	?	?	0	0	?
cloud	?	?	0	0	?
cloud	?	?	0	0	?
smoke	1	1	1	1	1
smoke	0	0	0	0	0
smoke	0	0	0	0	0
smoke	0	0	0	0	0
smoke	0	0	0	0	0
smoke	0	0	0	0	0
fire	?	1	?	1	1
fire	?	0	?	0	0
fire	?	0	?	0	0
fire	?	0	?	0	0
fire	?	0	?	0	0
fire	?	0	?	0	0
fire	?	0	?	0	0
fire	?	0	?	0	0
road	1	1	1	1	?
road	0	0	0	0	?
mtn	0	1	0	?	?
mtn	0	0	0	?	?
mtn	0	0	1	?	?
mtn	0	0	0	?	?
mtn	0	0	0	?	?
mtn	0	0	0	?	?
mtn	0	0	0	?	?
mtn	1	0	0	?	?
mtn	0	0	0	?	?
mtn	0	0	0	?	?
mtn	0	0	0	?	?
red	1	0	0	1	1
red	0	0	1	0	0
red	0	0	0	0	0
red	0	1	0	0	0
red	0	0	0	0	0
red	0	0	0	0	0
green	1	0	1	1	1
green	0	0	0	0	0
green	0	1	0	0	0
green	0	0	0	0	0
green	0	0	0	0	0
green	0	0	0	0	0
yellow	0	?	0	0	1
yellow	0	?	1	1	0
yellow	0	?	0	0	0
yellow	1	?	0	0	0
yellow	0	?	0	0	0
yellow	0	?	0	0	0
yellow	0	?	0	0	0
yellow	0	?	0	0	0
yellow	0	?	0	0	0
white	1	?	?	1	1
white	0	?	?	0	0
white	0	?	?	0	0
white	0	?	?	0	0
white	0	?	?	0	0
white	0	?	?	0	0
white	0	?	?	0	0
white	0	?	?	0	0
black	1	?	?	1	1
black	0	?	?	0	0
black	0	?	?	0	0
black	0	?	?	0	0
black	0	?	?	0	0
black	0	?	?	0	0
black	0	?	?	0	0
black	0	?	?	0	0
black	0	?	?	0	0
night	0	0	0	1	0
night	0	0	0	0	0
night	0	0	0	0	1
night	0	0	0	0	0
night	0	0	1	0	0
night	0	1	0	0	0
night	0	0	0	0	0
night	0	0	0	0	0
night	0	0	0	0	0
night	1	0	0	0	0
night	0	0	0	0	0
night	0	0	0	0	0
night	0	0	0	0	0
warm	?	?	?	?	1
warm	?	?	?	?	0
warm	?	?	?	?	0
warm	?	?	?	?	0
warm	?	?	?	?	0
warm	?	?	?	?	0
warm	?	?	?	?	0
warm	?	?	?	?	0
warm	?	?	?	?	0
warm	?	?	?	?	0
